datadate,BRK.A,MKT,SMB,HML,RF,QMJ,BAB,UMD,,,
3/31/2006,4.09,1.55,3.06,0.17,0.377,-0.85,1.17,1.58,,,
4/28/2006,-1.49,0.91,-1.44,2.66,0.388,-0.81,1.26,1.09,,,
5/31/2006,3.7,-3.51,-2.29,2.5,0.395,1,0.28,-2.99,,,
6/30/2006,-0.68,-0.42,-0.71,0.96,0.406,1.31,-0.01,1.09,,,
7/31/2006,-0.06,-0.65,-3.56,2.6,0.414,0.58,1.78,-1.13,,,
8/31/2006,4.91,2.09,0.86,-1.36,0.41,-0.56,-0.36,-3.38,,,
9/29/2006,-0.31,1.55,-1.15,-0.02,0.398,1.54,-0.14,-1.45,,,
10/31/2006,10.1,3.28,1.59,0.39,0.413,-1.65,0.48,-0.18,,,
11/30/2006,1.54,1.94,1.03,0.02,0.408,-0.89,1.41,-0.25,,,
12/29/2006,2.7,0.64,-0.64,2.62,0.408,-0.5,2.51,0.13,,,
1/31/2007,0.05,1.52,0.35,0.06,0.416,-1.28,1.18,1.35,,,
2/28/2007,-3.51,-1.85,1.39,0.78,0.418,-0.96,1.14,-1.27,,,
3/30/2007,2.64,0.86,-0.68,0.44,0.408,-0.16,-0.12,2.08,,,
4/30/2007,0.19,3.66,-1.79,-0.65,0.399,-0.29,0.84,0.01,,,
5/31/2007,0.27,3.54,-0.7,0.07,0.383,0.63,-1.05,-0.31,,,
6/29/2007,-0.01,-1.92,0.38,-0.36,0.39,1.09,0.48,0.09,,,
7/31/2007,0.48,-3.58,-2.79,-3.16,0.402,1.73,-0.64,2.86,,,
8/31/2007,7.63,0.75,-0.52,-2.32,0.326,1.69,-2.92,-0.11,,,
9/28/2007,0.1,3.73,-2.78,-1.56,0.31,-1.28,1.21,3.73,,,
10/31/2007,11.8,2.27,-0.31,-2.69,0.32,0.41,-0.09,6.09,,,
11/30/2007,5.74,-5.32,-3.08,-1.49,0.257,4.19,-4.32,0.9,,,
12/31/2007,1.07,-0.72,-0.76,-0.2,0.274,1.07,-2.55,5.43,,,
1/31/2008,-3.95,-6.54,0.95,4.16,0.16,-0.17,-1.95,-9.4,,,
2/29/2008,2.94,-2.47,-0.72,-1.51,0.151,2.05,2.19,7.68,,,
3/31/2008,-4.71,-1.22,0.09,-0.72,0.113,2.64,-6.81,2.35,,,
4/30/2008,0.34,5.05,-1.99,-0.82,0.118,-0.82,-2.07,0.88,,,
5/30/2008,0.6,2.23,1.84,-1.94,0.154,1.11,0.67,3.36,,,
6/30/2008,-10.32,-8.07,-2.23,-3.24,0.156,3.7,0.22,11.21,,,
7/31/2008,-5.22,-1.36,2.81,2.63,0.138,0.11,-6.5,-6.4,,,
8/29/2008,1.88,1.07,2.34,2.1,0.141,2.69,-1.44,-5.23,,,
9/30/2008,12.01,-9.87,-0.28,3.52,0.075,4.21,-9.25,0.49,,,
10/31/2008,-11.57,-18.55,-3.37,-1.56,0.037,8.81,-5.28,7.44,,,
11/28/2008,-9.95,-8.45,-5.28,-2.29,0.001,8.86,-3.89,6.76,,,
12/31/2008,-7.12,2.14,4.6,-1.23,0.009,0.11,-7.47,-6.12,,,
1/30/2009,-7.35,-7.89,1.05,-8.81,0.02,3.41,11.56,-1.42,,,
2/27/2009,-12.18,-10.11,-0.74,-6.37,0.022,5.76,-0.36,4.6,,,
3/31/2009,10.31,8.96,0.32,0.94,0.018,-3.59,-2.92,-9.93,,,
4/30/2009,8.42,11.04,10.4,2.83,0.012,-7.44,-7.73,-34.76,,,
5/29/2009,-2.55,6.6,0.27,-0.82,0.012,-6.55,6.62,-14.53,,,
6/30/2009,-1.75,-0.31,2.23,-1.47,0.016,2.66,8.91,5.46,,,
7/31/2009,7.78,8.22,1.48,5.89,0.015,-4.28,-3.47,-4.75,,,
8/31/2009,3.97,3.19,-0.63,6.86,0.013,-7.08,-2,-9.82,,,
9/30/2009,0.15,4.48,2.68,2.34,0.012,-2.17,-0.38,-5.2,,,
10/30/2009,-1.98,-2.76,-2.78,-3.91,0.004,5.69,0.71,1.72,,,
11/30/2009,1.62,5.75,-2.71,-0.31,0.005,-0.31,-1.06,1.37,,,
12/31/2009,-1.39,2.81,5.57,0.63,0.005,-0.24,1.2,2.17,,,
1/29/2010,15.52,-3.74,1.3,0.95,0.007,-0.64,1.08,-4.89,,,
2/26/2010,4.54,3.56,0.62,2.35,0.011,-0.69,0.83,3.69,,,
3/31/2010,1.67,6.46,1.05,2.93,0.013,-2.96,1.52,3.96,,,
4/30/2010,-5.32,2.15,4.63,2.61,0.013,-3.5,1.45,2.49,,,
5/28/2010,-8.16,-8.03,0.44,-2.93,0.013,2.8,-0.63,-0.53,,,
6/30/2010,13.3,-5.39,-1.67,-4.12,0.015,3.13,2.27,-2.63,,,
7/30/2010,-2.5,7.19,-0.63,0.99,0.013,-1.79,-2.4,1.76,,,
8/31/2010,1.43,-4.48,-2.06,-1.38,0.012,1.07,1.53,1.42,,,
9/30/2010,4.91,9.34,3.28,-2.67,0.013,-0.35,-1.12,0.73,,,
10/29/2010,-4.18,3.99,0.6,-1.44,0.01,0.45,2.24,1.12,,,
11/30/2010,0.75,0.64,2.88,-0.28,0.014,-0.49,-0.44,2.47,,,
12/31/2010,0.21,6.86,0.66,2.96,0.01,-4.58,0.04,-2.79,,,
1/31/2011,1.64,2.07,-1.99,1.21,0.013,-1.09,2.9,-0.49,,,
2/28/2011,7.25,3.84,1.4,0.45,0.013,-0.99,0.56,2.01,,,
3/31/2011,-4.57,0.31,1.95,-1.34,0.008,1.63,0.39,2.85,,,
4/29/2011,-0.44,2.83,-0.2,-1.83,0.003,1.22,0.51,0.14,,,
5/31/2011,-4.79,-1.45,-0.67,-0.9,0.005,2.84,1.43,-0.46,,,
6/30/2011,-2.25,-1.89,-0.7,-0.36,0.003,2.88,0.56,1.89,,,
7/29/2011,-3.97,-2.32,-1.01,-1.67,0.008,0.96,-0.24,0.78,,,
8/31/2011,-1.55,-5.94,-2.83,-1.54,0.002,5.99,0.63,0.05,,,
9/30/2011,-2.7,-8.5,-3.07,-0.49,0.002,7.11,1.9,-1.95,,,
10/31/2011,9.5,11.63,3.46,-1.07,0.001,-4.23,-6.09,-1.27,,,
11/30/2011,1.33,-0.61,-0.36,-0.3,0.001,3.21,0.52,3.9,,,
12/30/2011,-3.16,0.49,-0.71,2.32,0.002,0.85,1.23,2.2,,,
1/31/2012,2.76,5.41,2.89,-2.54,0.005,-4.4,0.77,-7.07,,,
2/29/2012,0.01,4.25,-1.37,0.56,0.007,-0.88,2.58,0.12,,,
3/30/2012,3.36,2.57,-0.2,0.4,0.006,0.51,4,2.23,,,
4/30/2012,-0.9,-0.69,-0.88,-0.01,0.008,0.94,2.86,3.44,,,
5/31/2012,-1.61,-6.64,-0.48,0.87,0.006,3.37,2.38,6.81,,,
6/29/2012,5.13,3.81,0.58,0.74,0.008,-1.02,1.06,-0.61,,,
7/31/2012,2,0.99,-2.12,-0.57,0.009,1.03,1.04,3.22,,,
8/31/2012,-0.69,2.7,0.54,0.04,0.008,-0.7,-0.83,-2.74,,,
9/28/2012,4.85,2.65,0.56,1.32,0.008,-1.54,0.81,-1.87,,,
10/31/2012,-2.41,-1.47,-1.1,3.33,0.009,-1.89,2.42,0.41,,,
11/30/2012,1.86,0.59,0.68,-1.16,0.007,1.22,-1.13,0.33,,,
12/31/2012,1.63,1.23,1.59,2.5,0.004,-2.42,-0.86,-2.04,,,
1/31/2013,8.81,5.53,0.29,1.36,0.006,-2.23,4.48,-0.94,,,
2/28/2013,4.61,0.86,-0.01,0.14,0.009,0.46,2.11,1.97,,,
3/28/2013,2.41,3.68,0.98,0.18,0.006,-0.5,2.35,1.68,,,
4/30/2013,1.74,1.52,-2.03,0.82,0.004,-0.84,1.72,1.1,,,
5/31/2013,7.74,2.13,2.13,-0.1,0.003,-0.62,-1.52,-1.32,,,
6/28/2013,-1.58,-1.42,0.95,0.21,0.003,1.51,2.03,0.53,,,
7/31/2013,3.14,5.43,1.22,0.17,0.003,-1.24,1.78,1.53,,,
8/30/2013,-3.94,-2.6,-0.03,-1.77,0.003,0.68,-0.31,-0.31,,,
9/30/2013,2.01,3.76,2.42,-1.14,0.002,-0.78,0.89,2.89,,,
10/31/2013,1.52,4.07,-1.51,0.53,0.003,1.84,2.87,0.68,,,
11/29/2013,1.01,2.65,1.18,-0.62,0.005,1.43,1.89,1.88,,,
12/31/2013,1.8,2.72,-0.15,0.09,0.006,-1.59,0.43,1.1,,,
